AccommodationId,ReviewDate,ReviewId,ReviewerName,Comments
8005634,2016-05-08,16,42762216,Laura,"B mi ha accolto come meglio puo' desiderare un'ospite, gentile premuroso ha facilitato l'arrivo alla sua casa venendomi in contro sulla strada principale. Mi ha dato tutte le indicazioni possibili per visitare al meglio la  citta'. La casa e' ordinata,pulita, accogliente e perfettamente organizzata. Ho trovato un frigo pieno di tutto quello che serve per fare una buona colazione e B mi ha fatto trovare un bel cesto di frutta fresca e delle ottime piccole torte salate. La stanza  ha un comodo letto spazioso con una bella vista sui tetti di Dublino. La casa e' molto vicina al centro e ben servita dai mezzi pubblici. Consiglio vivamente a tutti i viaggiatori la casa di B.Laura."
8005634,2016-05-20,17,23001142,Cara,"I had a great stay with Bart. He went above and beyond the call of duty to make me feel welcome during the stay! He was very flexible with check in time, and came to meet me in the city and walk me to his apartment. The location is unbeatable, and good value for money considering its position close to Dublin's centre. Room is simple but has everything you need, plus some nice art on the walls. Bart had put out a lovely spread of fresh fruit, donuts, crisps, breakfast bars and beer/wine. Wow!!! Would definitely stay again if I was passing through Dublin."
8005634,2016-05-21,18,65073259,Eoin,"We had a great stay at Bart's place. He was a great host and couldn't be more helpful before & during our stay. He had food & drink for us when we arrived, the room was more than adequate for our stay, the location was perfect - close to all the main parts of Dublin. Would definitely recommend to everyone  "
8005634,2016-06-03,19,12048830,Kelly,Bart was a fantastic host. I booked very last minute and he was very accommodating. His flat is easy to find and he gives you all the essential information to access the building.He was there to meet me and provided snacks and drinks for me. The room is a good size with comfortable beds and big comforters.  I recommend anyone to stay here.Thanks B!
8005634,2016-06-04,20,5656802,Melissa,"Wonderful stay!  Our host was so welcoming, friendly, and beyond kind and thoughtful.  The room was very comfortable, and the location was excellent.  Highly recommended!"
8005634,2016-06-07,21,68451106,Michael,"Bart was very hospitable and friendly. He went out of his way to make me feel at home, and he was quite flexible with my schedule. The bed was comfortable and the WiFi worked great. The apartment is really close to the Temple Bar area and all of the major sights in town. I walked everywhere. I would definitely recommend Bart's place when you stay in Dublin."
8005634,2016-06-14,22,32705515,Kal,"Bart is an awesome host! From initial communication, greeting and throughout the stay. Bart made sure I was ok and was more than generous with food and drink!!"
8005634,2016-06-19,23,76319494,Callum,"We had an excellent stay, the room is in a brilliant location very close to O'Connel street in the city centre. The host was great and even provided us with beer, wine and some local food!  Bart was very friendly and provided us with some great advice on places to go and local specialties. Would definitely stay again next time we're in Dublin! "
8005634,2016-06-20,24,74763629,Trent,Great location in the heart of Dublin. Host was more than welcoming and even provided me with food after a long day of traveling. I highly recommend staying here!
8005634,2016-06-23,25,76319494,Callum,"Another excellent stay at Bart's! Again, great advice for local places to go.  He even was very flexible with the check out time, so that I could check out just before my flight. Would definitely recommend staying at Bart's place!"
8005634,2016-07-02,26,50732516,Aries,Location is great. You are just steps away from the iconic Spire of Dublin. Bart attempts hospitality to his guest. Had booked AirBnb many times but this is the first time staying with host. Prefer booking entire house. Room size is ok for 2 person. Bring your own towels and hair dryer. Bathroom is minimum cleanliness. We were out of WIFI for 2 days and hotwater for 1 day. There isnt many options for accomodation around Dublin. Ok for short stay. Ideal for male travelers. 
8005634,2016-07-02,27,69673180,Pam,Bart was very accommodating.  He was understanding of our early arrival time and allowed us to get in earlier than expected. He was also extremely generous with having food for us - totally unexpected and a very nice surprise.  The location is centrally located and within walking distance to Temple Bar.
8005634,2016-07-05,28,27443085,Sylvia,"B is a friendly and nice host. His place is neat and very convinience, close to city centre and lots of pub, restaurant and supermarket.I would recomment B's place if you are going to visit Dublin."
8005634,2016-07-19,29,2108419,Steven,"B was an excellent host.  He went out of his way to make sure I felt welcomed and he was very responsive to any questions I had.  He's also very friendly and helpful.  The location is ideal, too, and the room is comfortable. "
8005634,2016-08-01,30,18057113,Marek,"Bartek is a great guy, very enthousiastic and extremely friendly. He made us feel welcome (without being intrusive) in his apartment, even got us some sandwiches for breakfast the first morning.The apartment itself is fine (if you don't mind not having your own), the private room and beds are good, the location is great."
8005634,2016-08-13,31,40976216,Rachael,"B was very responsive as a host! He made sure we were able to get a key as soon as we arrived and was very communicative throughout the entire process. The apartment was very clean and our room was nicer than we had anticipated! Overall, it was a terrific way to end our two week trip in Ireland!"
8005634,2016-09-03,32,6876250,Naman,"Fantastic location near the Spire, easy to get to from the airport. Good size room with two full size beds. "
8005634,2016-09-06,33,55273202,Dan,"B was awesome! What a genuine and relatable host! He pointed us in the right direction, gave us advice and made us feel right at home. Great location to the center of everything. Highly recommend a stay here if you visit Dublin as you will make new friends!"
8005634,2016-09-09,34,75020332,Veronica,This was a great place to stay! Bartek went above and beyond to make my brother and I feel welcome and comfortable. He had food and drinks for us and even bought us bus tickets and coffee since we had to meet him at his work to pick up the keys. He was always available to answer questions and truly made the stay in Dublin that much more enjoyable! I would most definitely stay there again! Thanks B!
8005634,2016-09-17,35,79979458,Karl,Der Gastgeber war sehr freundlich und immer bemüht alle Wünsche zu erfüllen. Gerne werde ich immer wieder dort buchen und kann es nur empfehlen.
8005634,2016-09-25,36,93871446,Daniel,Perfekt. Clean. Friendly. Good located. Thx. B.
8005634,2016-10-03,37,48083853,Lorelei,"This was my first experience with Airbnb and it was a great introduction! Bart was in constant contact and helped me when I became a bit lost. He checked on me to assure everything was fine but did not intrude...I had the place to myself. The apartment was clean, well equipped and secure (important to me as a woman traveling alone. The location was the best, central to EVERY THING. Thank you, Bart, for making my vacation that much better!"
8005634,2016-10-15,38,85988059,예나,전날 밤에 예약했는데 빠르게 연락되었다. 더블침대가 두개있어서 네명이 잘 수 있는 방이라 혼자 사용하기엔 많이 컸다. 침대가 편하고 아늑하며 호스트는 아주 친절했고 편하게 지낼 수 있게 해줬다. 과일과 샌드위치는 맛있게 먹었다. 한밤 중에 걸어가기에 위치가 좋고 주변이 시끄럽지 않다. ^ㅇ^
8005634,2016-10-17,39,1920618,Carolyn,Great location in Dublin! Room is cozy. Host is friendly! He allowed us to store some bags while we traveled outside Dublin for a few days. 
8005634,2016-10-19,40,51927528,Ariel,"Nice place, great location, very accommodating and communicative host! Thank you so much!"
8005634,2016-10-22,41,1920618,Carolyn,This was our second time staying here; we began our trip at Bartek's flat and ended it there as well. He kept our luggage for us while we went traveling outside Dublin. He was flexible with our checkin--we were able to meet him at his workplace to collect the keys earlier in the day. He left some beer and sandwiches for us as well. Very friendly! 
8005634,2016-10-24,42,97382089,Jade,"Great stay at Barts! Got lost on arrival and he came and got us which was great. In our room was some Guinness and munchies which was more than welcoming and Bart is a chatty wee guy so we get right at home. Although we were out and about most of the weekend he was always chatty and recommended some great places to visit.Overall we would definitely return to stay and the fact our flight was later and Bart allowed us to stay late was a godsend as we were hungover as hell haha! Thanks again laddy, you're a wee legend!! "
8005634,2016-10-30,43,98833533,Erin,"This was my first Airbnb experience and I couldn't have been luckier. B kept in touch with us before and after my stay. He directed us from the airport to where we could find him to retrieve the keys. He let us checkout at our leisure. He bought us welcome bread and beer. The rooms were clean and the beds cozy. He has the mentality that guests should be treated like family, and it showed. The location is one street away from the central buzz of Dublin, yet his street is dead quiet (and so safe)! Amazing. Couldn't be a better location. I would love to live there myself. Confession Box Pub is a 2 minute walk and is a must-go. Book now!"
8005634,2016-11-12,44,14664394,Junghyun,It was perfect stay.  Thanks
8005634,2016-11-15,45,98924253,Simone,Thank you for all B . Is Not common found a person like you. Thanks for your time and your hospitality are really glad to have met you.
8005634,2016-11-21,46,53843308,Paulien,Toplocatie in een veilige buurt.Alles op loopafstand.Winkelstraat om de hoek.De wijk tempelbar op loopafstand.Bartek is een superfijne vent die alles eraan doet om het naar je zin te maken.
8005634,2016-12-10,47,101330849,Ka Wai,Bart is a very friendly and nice person! His place is comfy and clean. My friend and I really enjoyed our stay in his place! 
8005634,2016-12-11,48,15591288,Cathy,"Great location. There were two comfortable double beds in the room. Host bought sandwiches the evening arrived - nice thought, but we had dinner plans and I don't eat meat. Sandwiches were gone that night so we had no breakfast options."
8005634,2016-12-18,49,43384310,Catherine,Bartek is very very nice and he knows so well how to welcome people. He is the perfect host. The apartment is perfectly situated and quiet. 
8005634,2017-02-01,50,110067158,Luka,Great accommodation!
8005634,2017-02-01,51,52419818,Paul,The host canceled this reservation 51 days before arrival. This is an automated posting.
8005634,2017-02-19,52,41151126,Claudio,"B has been the best host I ever had.The house is in the city center, very clean and confortable. B is a very kind person and I will definitely be his guest if again in Dublin."
8005634,2017-02-27,53,103423170,Christa,"Die Lage der Wohnung war perfekt - im Herzen der Stadt, nur wenige Minuten vom ""Finger"" entfernt. B. war sehr freundlich, zuvorkommnend und hilfsbereit, kaufte extra Sandwiches, Obst und Wein für uns und gab wertvolle Tipps! Klasse war, dass er uns vom Flughafenbus abholte und so das Ankommen in einer fremden Stadt wesentlich erleichterte! Herzlichen Dank nochmal! Prädikat: Sehr empfehlenswert!"
44306122,2020-08-14,54,8338542,Julien,"My stay was really great, so many places around like restaurants, pubs have been recommended to me and I had a lovely time there."
8005634,2017-04-01,55,10274950,Man Kei Carol,B was great and welcome us even though we arrived quite late. He had also prepared us sandwiches and wine. A lovely place to stay at!
8005634,2017-04-04,56,119523863,Isabelle,"B's place was so perfect for us, two on-the-move college students. Communication was excellent and he even went out of his way to provide great snacks and good tips about local activities for us. The place is a little difficult to find, but it's a very short walk from Temple Bar/Trinity, as well as many bus stops and other tourist attractions. Comfortable for two people, but more than that would be slightly cramped."
8005634,2017-04-09,57,14147161,Anna,"I had a very nice stay at B.'s place. It's quiet and central at the same time. B. is friendly, easy, helpful, everything to make it easy for his guests ! Thanks again :)"
8005634,2017-04-13,58,71603391,Luko,"B's place is conveniently placed for all your Dublin needs, including O'Connell shopping and Temple Bar strolling. Apartment also has a great connection (3 mins walk) to airport 747 bus services. All of these makes a stay at B's apartment very enjoyable, but the crowning glory is certainly the host himself whose hospitality is second to none. Whether you are taking a weekend or week long Dublin break, B will make sure that your stay is comfortable and that you feel right at home. If there are a yearly nominations for the best Airbnb host, B would surely win the gold medal. All the best for the future, L & G"
8005634,2017-04-18,59,188309,Florian,"A truly great experience. Bart was very welcoming and super nice. He really made sure that we were comfortable from the start! Communication was nearly instant. Truly a experienced airbnb'er and super nice guy (no exaggeration)!The apartment itself is also a very good beginning point to explore the city. Super central with walking distances to the river, temple bar, trinity college and basically every other main attraction. Also only a couple of minutes away from the airport bus, so transfer was a breeze. Big recommendation for Bart and his place for a trip to experience Dublin. We even went for a daytrip to Belfast, which was also very easy to do, thanks to the local bus system (15 mins footwalk to long-distance-busses from the appartement).Thanks again and hope to see you soon!Cheers!"
8005634,2017-04-29,60,119861548,Nicole,"This AIR BNB was great. First time renting a room instead of entire home. So glad we did it this way in Dublin. Our host was so welcoming, friendly and made us feel at home. Great location as well."
8005634,2017-05-08,61,118561214,Amisha,"Excellent place to stay and the location is perfect. B was a great host to stay with, extremely friendly and he knew the best spots to go to. I would definitely recommend staying here. "
8005634,2017-05-14,62,1764942,Maïa,"Bartosz is a great host! We met him at his work to get the keys, he was very nice and explained exactly how to get to his place where sandwiches and fruits were expecting us :) The location of the apartment is perfect, we went everywhere walking (it's and so very easy to get there from the airport)! I would definitely recommend this room :)"
8005634,2017-05-22,63,1397497,Lisa,"Bart's place is centrally located right by the Spire. Especially if you choose to take any Paddywagon tours, one of the departure points is a few steps away. Dublin isn't that big a city, so you can easily walk to most of the main sites. Bart was an exceptional host. He met us at the bus stop to walk with us back to the flat, and also supplied us with lots of fruits and breakfast items which you typically don't expect from Airbnb hosts. He even had sandwiches for us since he knew we were going on a tour first thing int he morning to bring with us!"
8005634,2017-05-27,64,54717152,Lucy,"Good location and good sized double room, with fresh bedding & towels and plenty of fruit and drinks included - even sandwiches available on arrival!Excellent communication from the host, who replied to messages within minutes and was extremely eager to please."
8005634,2017-05-28,65,46849336,Zack,"Bart's place is near and within walking distance to everything we needed. The building felt secure: code for the outer gate, key to the 1st building door and another coded interior door. Bart was a super host and has a great energy.He had snacks and coffee for us, and offered up dinner and bar suggestions. Positive experience after jet lag and a sleepless flight."
8005634,2017-06-04,66,47151815,Danielle,"You have to stay with B!I booked this trip to Ireland with my mother who has not been out of the country in almost 30 years! So I was nervous booking a single room instead of an entire place, but I could not pass up the location, the other reviews, and the price/value of his apartment. Neither of us were disappointed in the least.The accommodations are just as they are shown and described, B was very inviting and made sure we had all that we needed when we arrived. Before, during and after our stay, B was very responsive to any questions, suggestions, or concerns. It is a very safe and quite neighborhood but also minutes from everywhere you want to. He was also very accommodating by letting us check in early since our plane arrived at 8am. On our last day he bought us sandwiches and coffee for our train ride to Cork. I've traveled all over the world and stayed in numerous AirBnb's, B is by far the best host I have ever met and worked with. Besides the apartment, I very much enjoyed staying on the ""north"" side. Every day it was a quick bus/train/trolley to wherever we were headed. Temple Bar is a must on a Friday/Saturday night! The churches are pretty, Jameson distillery is nice even if you don't do the tour, Dublin Castle and Trinity College are good to check out too."
8005634,2017-06-06,67,125268669,Melissa,Bart was an amazing host! He made us feel at home! The room was great and the beds were very nice! He even provided snacks and food which we greatly appreciated. If you have the opportunity you should definitely stay with him. He is so friendly and gave us great advice on places to go to in Dublin. It was a great experience to stay with him. 
8005634,2017-06-10,68,96867017,Tomasz,B is a very personable and tries hard to please guests.Location is very good.
8005634,2017-06-12,69,11927493,Jon,"B es un gran anfitrión y ha hecho que nuestros días en Dublín sean pefectos. Nos ha provisto de todo lo que necesitábamos, nos ha dado buenos consejos y ha atendido nuestras llamadas y mensajes al momento. La habitación como en la foto y las zonas comunes tambié. bien. Ubicación excelente.  Inmejorable"
8005634,2017-06-15,70,58816539,Tianmu,This place is great! It is very central in Dublin. The room is very clean. My host is very kind and helpful. He definitely show me Irish hospitality as my first host in Ireland.
8005634,2017-06-18,71,129120172,Renato,"Fiquei em casa do B. com a minha esposa por três noites. A localização do apartamento é excelente. Zona tranquila, principalmente residencial, a 5 minutos a pé de distância do centro. B. é muito simpático e foi um anfitrião muito acima das nossas expectativas. Tratamento de fazer inveja a muitos hotéis de 5 estrelas!!"
8005634,2017-06-21,72,41917560,Nicole,Great accommodation for our stay! 
8005634,2017-06-26,73,15119079,Nicole,"This is an excellent place. B was super great at communicating the location, which was very easy to navigate from on our visits around the city. Very close to a main bus stop, so easy to get around, but almost every thing we did was walking distance (Temple Bar, Trinity College, museums, Grafton Street). Super clean. Nothing bad to say! "
8005634,2017-06-30,74,43794716,Connie,"Bart was a great host! He had sandwiches for us from a local bakery and encouraged us to help ourselves to anything in the kitchen. We had access to our bedroom, and the shared bathroom and kitchen. The bedroom and beds were comfortable (free Netflix!), the bathroom could use some updating. It's a small apartment but if you're just looking for a cozy place to sleep in a great location, this is the place! Short walk to restaurants and transportation, including the tour buses. It's only about a 20 minute walk to Trinity College, St. Stephen's Green and others. I liked that the apartment was set back a ways from the street so there wasn't much traffic noise. I recommend it!"
8005634,2017-07-05,75,115230043,Scott,"Bart is super helpful and extremely friendly and goes out of his way to make sure you feel at home. We had a very early flight and we had some trouble getting in to his place at first. But even though he had a half marathon he was running that same day, he let us go right there and helped us get in. On top of that, Bart's place is minutes away from anything you want in Dublin. If you love history you can visit many historical sites all between 5 and 15 minutes of walking. There are many great pubs and places to eat nearby but if you're set on Temple Bar you're still only 10 minutes away. If you like tours that bring you around Dublin or other destinations in Ireland, many of those services are only 5 minutes away. It's a great location and he is a great host. I highly recommend anyone coming to Dublin to stay with him! "
8005634,2017-07-07,76,24482028,Sarah,Perfect spot to stay while in Dublin! Bart is a very welcoming and generous host. The apartment will meet all your needs and the location is perfect for sightseeing while still be quiet for sleeping. I would highly recommend!
8005634,2017-07-10,77,2137484,Lauren,Bart was great. Super friendly and accommodating and gave us great recommendations for places to go. It's a good location. Really walkable. I'd stay here again 
8005634,2017-07-16,78,81831733,Jan,"B is a great host. We were greeted not only with his enthusiasm and friendliness but also food and drinks. Great location on a quiet street and walking distance to most of the Dublin attractions. Across the street is one of the best pubs in Dublin ""The Confession Box"". A must for a cool Guinness and life music."
8005634,2017-07-20,79,2995217,Donna,Centrally located near some of the best restaurants and pubs. Tour bus pick up point was very close which I liked. Tourist sites were just a short walk. B was very helpful and prompt with communication. He was also generous in leaving snacks and water after a long day. Would stay again. 
8005634,2017-07-22,80,1016320,Gary,"Bart was an amazing host! He's super friendly, easy to talk to, and he went above and beyond what most hosts would do. I stayed two nights and would recommend this place. It's very close to everything. Literally in the heart of the city but it's still secluded and quiet because the building is away from the streets and has its own courtyard. It's a great value too."
8005634,2017-07-23,81,111087658,Keith,Comfortable accommodation in a great location with a lovely host - can't want for more than that! B provided unexpected extras and was great at communication and providing tips - the stay was ideal for us.
8005634,2017-07-26,82,129473724,Roya,"We had a fantastic stay here in Dublin. The place is centrally located, which made walking everywhere easy. Bart is a wonderful host who thought of everything. Would highly recommend."
8005634,2017-08-01,83,16136921,Genevieve,"Bart is the true definition of a gentleman. I had a few days alone in Dublin and he made me feel comfortable. He gave me perfect instructions and picked me up at the train stop to help me with my bags. He also helped me pick out running routes, day trips, restaurants, printing shops for my boarding pass, etc. I was exhausted from my travels and needed these days to recuperate and this room provided me privacy, space, quiet time and NETFLIX!! But it was also very central to any buses or trains and restaurants for any activities. Bart set me up with loads of fruit, breads and cookies. He came home one night with several sandwiches to choose from and chocolates that he was prepared to share. The room, kitchen and bathroom were clean, comfortable and the whole stay was affordable. I would certainly come back again to stay at Bart's!"
8005634,2017-08-06,84,63799624,Tami,B was so nice! Staying at his place was a great time! Amazing location and very cozy room! B got us free tickets to tours and museums and was very helpful! Would 100% recommend!
8005634,2017-08-09,85,135266564,Anita,Such a welcoming and friendly host...easy going and always with a smile on his face.Really good location.Thanks for everything! :)
8005634,2017-08-14,86,40738234,Emil,Perfekt läge mitt i Dublin! Väldigt god gästvänlighet från B och hans mamma!
8005634,2017-08-17,87,52241533,Suzanne,"B's apartment is in a terrific location -- the Abbey Theatre is right down the street. And B is very sweet. The room is a bit cramped, and the apartment is shared with B's parents. His mother was very welcoming."
8005634,2017-09-07,88,103803047,Tomas,"Bart was one of the best hosts in Airbnb I ever was. Clean and nice room, but more importantly personal and friendly approach. Felt like being home."
8005634,2017-09-24,89,116105620,Erwin,"Bart is een goede host die echt zijn best doet om het jou naar je zin te maken. En een heerlijk rustige ligging in het midden van de stad, ideaal!"
8005634,2017-10-10,90,4911319,Ellen,"Bart and his mom were extremely sweet! He was very accommodating and had little snacks and food for me around the house. The place is super close to everything, so you can walk everywhere. Would definitely stay here again without question."
8005634,2017-12-21,91,142361893,Antonia,"Bart was very welcoming and friendly, as well as his Mom. The flat was tidy, but the bathroom is rather old and could use a renovation. The flat is in an apartment complex off the street, so it is quiet. The newly opened Luas stops just down the street."
8005634,2018-01-01,92,110192083,Gaëlle,Emplacement au top. Proche de l'artère principale de la ville mais une rue en parallèle donc aucun problème pour la tranquillité. Proche de Temple bar en 10min on y est.Bart est vraiment un hôte parfait! Il nous a donné des adresses utiles et nous étions comme chez nous chez lui.
8005634,2018-01-08,93,33193640,Michelle,"Bart ist ein unglaublich toller Gastgeber,er war sehr freundlich, hat uns (meine Mutter uns mich) immer wieder mit kleinen Snacks überrascht und uns reichlich mit Tipps versorgt.Das Appartment hat eine fantastische Lage, man ist direkt in der Innenstadt Und hat eine gute Verkehrsanbindung (Tram, Busse und Zug in 1 bis max. 6 Min zu erreichen).Bart hat uns zum schicken Abendessen die Brasserie Sixty6 empfohlen, es war traumhaft! Der Pub namens Confession Box in der Nähe von Appartment ist ein Muss! Tolle Menschen.Jedem ist diese Unterkunft mit Bart als Gastgeber wärmstens zu empfehlen (wenn man rein Sauberkeitsniveau eines Hotels erwartet) :)))Vielen Dank, wir haben die Zeit sehr genossen!"
8005634,2018-01-19,94,167737656,Jon,"Bart is a fantastic host. Lots of really nice touches - fresh fruit, bottled water, sandwiches ,wine, Dublin activity passes, etc. Very walkable location."
8005634,2018-02-01,95,125541449,Monique,"Un accueil formidable! Et un super rapport qualité/prix. Bart fait tout pour que ce soit parfait, grande gentillesse. De plus l'emplacement est exceptionnel, près de tout ce qu'il y a à voir ou à faire à Dublin, bus et tramway pas loin et en plus c'est un endroit calme."
8005634,2018-02-04,96,121657383,Naikee,"Had an amazing stay in Dublin at Bart's place. The location was very central, and Bart is a very welcoming host. I would definitely recommend!"
8005634,2018-02-12,97,54675455,Hayley,"Bart was by far the most accommodating and sweetest host that I've ever had the pleasure of booking with. Not only was his place spotless, but he went out of his way to buy us snacks and give us plenty of recommendations to fulfill our stay. Bart helped make our trip memorable and is a dear friend after this experience! Everyone should stay here!"
8005634,2018-02-16,98,138926383,Shammai,"Bart's room is exactly as described! He's an excellent host, greeted me on arrival, showed me around and made it feel like a home away from home. He offered many insightful tips of Dublin and where I could go. The room is located in a fantastic central location, bus and tram services on your doorstep. You also have access to the kitchen."
8005634,2018-02-25,99,132937406,Inger,"Hyggelig rom i en privat leilighet. vi hadde tilgang til det vi trengt av kjøkken og bad.  Vert som gjorde alt for at vi skulle trives og ikke mangle noe.  Lett å finne frem og veldig sentralt, gangavstand til det meste.Kan anbefales."
8005634,2018-03-09,100,176526839,Paddy,Excellent host. Great location safe and easy to find.
8005634,2018-03-13,101,7990595,Trisha,Very comfortable bed and great location. Very good value for a one night visit to Dublin.
8005634,2018-04-01,102,85277529,Armelle,Un hôte d'une remarquable gentillesse et surtout toujours avec le sourire!Logement remarquablement bien placé.
8005634,2018-04-07,103,168138441,Emily,"Bart was a great host, and we are so glad that we stayed in his apartment for our week in Ireland. The location is unbeatable, and you can walk to all major points of interest. It’s also super close to all forms of public transportation on O’Connell Street. We loved having two double beds and despite the close proximity to everything, it’s quiet in the apartment. Bart and his mom (you’ll share the apartment with her!) were both sweet and helpful. We were out and about so we weren’t in the apartment much, but it was nice to have Netflix to unwind after a long day of walking and sightseeing. Also, there is a washer you can use, but no dryer, so just plan to air dry your clothes. Thanks again for everything, Bart!! We hope to stay with you in Dublin again! Slainte!"
8005634,2018-04-09,104,129642755,Cate,Bart and his mother were very friendly and the apartment was located perfectly for getting to the meeting place for a tour bus I needed to catch. Thanks again!
8005634,2018-04-13,105,171209039,Nathan,"Great place to stay. Right near a main street but not directly on it so it's peaceful. Bart gave great tips of places to go, the sight seeing bus has a great deal to go seeing great places and get around town. 50 euros and you get a 2day bus ticket and a fast track ticket to the Guinness store house. Overall one of my favorite Airbnb places I've ever stayed through my entire trip in Europe. Definitely worth it!"
8005634,2018-04-21,106,98952186,Marc,"Bart was a really nice and helpfull host for his his nice cozy room.From a well-furnished room, great advices where to go to from on the first night, to descretion and a treatment à la ""mi casa es su casa"" (fridgge for full usage and a prepared fruit basket), Bart really took care of us and made our stay really good.Thanks mate :-)"
8005634,2018-05-04,107,30472494,Afton,Bart was a great host. The room was spacious and clean. It was close to the Spire and was easy to find. Be sure to take the time to talk with Bart and his mom. Lovely people!
8005634,2018-05-06,108,166855058,Alastair,Very central yet quiet and private
8005634,2018-05-11,109,120060087,Thibaud,"Logement très bien situé et facile d'accès. Bart est un hôte réactif, sympa et qui donne de bons conseils. Je recommande !"
8005634,2018-05-12,110,2301201,Mario,Bart and his mother were excellent hosts! They went beyond our basic needs to ensure that we had a great stay! The location of this flat is great! Just a short walk to the Temple Bar area! Would highly recommend.
8005634,2018-05-14,111,92044062,Olivier,"Nice room in a flat located near all the transports (the two tram lines and the airport bus). Very close to the city centre. Bart provide us some food ans drinks. Very friendly person, as much as his mother. Confortable bed. I recommand it."
8005634,2018-06-04,112,42166118,Chris,Bart is a very kind and hospitable host. The property is in a great central location.  We had a lovely stay.
